song_name,song_popularity,song_duration_ms,artist_name
"Sugar, We're Goin Down",79,229093,Unknown Artist (Placeholder)
Last Nite,70,193373,Unknown Artist (Placeholder)
Through Glass,60,282946,Unknown Artist (Placeholder)
The Diary of Jane - Single Version,69,200546,Unknown Artist (Placeholder)
Down With the Sickness,73,279213,Unknown Artist (Placeholder)
Wish You Were Here,62,212733,Unknown Artist (Placeholder)
Youth Of The Nation,72,256240,Unknown Artist (Placeholder)
Vertigo,57,194520,Unknown Artist (Placeholder)
Miss Murder,71,206586,Unknown Artist (Placeholder)
I Bet You Look Good On The Dancefloor,63,173680,Unknown Artist (Placeholder)
"Steady, As She Goes",64,215266,Unknown Artist (Placeholder)
Falling Away from Me,71,270920,Unknown Artist (Placeholder)
Crawling In The Dark,61,175026,Unknown Artist (Placeholder)
I Stand Alone,67,246040,Unknown Artist (Placeholder)
Woman,63,176306,Unknown Artist (Placeholder)
Show Me How to Live,72,277840,Unknown Artist (Placeholder)
The Red,71,238400,Unknown Artist (Placeholder)
Remedy,70,207213,Unknown Artist (Placeholder)
Plug In Baby,65,218000,Unknown Artist (Placeholder)
Change (In the House of Flies) - In The House Of Flies LP Version,69,299533,Unknown Artist (Placeholder)
Judith,66,247266,Unknown Artist (Placeholder)
MIA (feat. Drake),94,210367,Unknown Artist (Placeholder)
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,212500,Unknown Artist (Placeholder)
White Boi,59,185282,Unknown Artist (Placeholder)
Just Wanna Love You (feat. J. Balvin),73,199230,Unknown Artist (Placeholder)
Beautiful (feat. Camila Cabello),94,180000,Unknown Artist (Placeholder)
Celoso,87,179693,Unknown Artist (Placeholder)
Good Vibes,73,235720,Unknown Artist (Placeholder)
Real Friends,85,223583,Unknown Artist (Placeholder)
Pa La Calle,61,243487,Unknown Artist (Placeholder)
Pa Mí,58,210865,Unknown Artist (Placeholder)
Wake Up in the Sky,92,204664,Unknown Artist (Placeholder)
Está Rico,83,215151,Unknown Artist (Placeholder)
Banana Clip - Spanish Version,57,202373,Unknown Artist (Placeholder)
YAKWTFGO (feat. Kali Uchis),44,162733,Unknown Artist (Placeholder)
Come With Me,47,157461,Unknown Artist (Placeholder)
Como Si Na,54,170997,Unknown Artist (Placeholder)
Blah,47,188440,Unknown Artist (Placeholder)
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64,253714,Unknown Artist (Placeholder)
Mi Infinita,56,272000,Unknown Artist (Placeholder)
Coqueta,49,174000,Unknown Artist (Placeholder)
Sola,65,209573,Unknown Artist (Placeholder)
Nuestro Planeta (feat. Reykon),64,202754,Unknown Artist (Placeholder)
Hijo de Su Madre,61,178009,Unknown Artist (Placeholder)
Lento,65,169251,Unknown Artist (Placeholder)
Dicen,77,220826,Unknown Artist (Placeholder)
BEBE,95,217822,Unknown Artist (Placeholder)
I Like It,95,253390,Unknown Artist (Placeholder)
Zooted (feat. French Montana & Farruko),74,217652,Unknown Artist (Placeholder)
Havana - Remix,77,199095,Unknown Artist (Placeholder)
Pum Pum,45,185743,Unknown Artist (Placeholder)
Quiero Saber,52,166253,Unknown Artist (Placeholder)
Como,38,234373,Unknown Artist (Placeholder)
Anywhere Contigo,46,193846,Unknown Artist (Placeholder)
No Gratis,44,208800,Unknown Artist (Placeholder)
Díganle - Tainy Remix,75,211437,Unknown Artist (Placeholder)
Sangria Wine,75,202853,Unknown Artist (Placeholder)
All Day,45,198386,Unknown Artist (Placeholder)
Just As I Am,53,224413,Unknown Artist (Placeholder)
Nice & Slow,38,218448,Unknown Artist (Placeholder)
Scooby Doo Pa Pa (Remix),60,176702,Unknown Artist (Placeholder)
Don't Werk,39,133120,Unknown Artist (Placeholder)
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,Unknown Artist (Placeholder)
Pa Mi (with Ozuna),77,216689,Unknown Artist (Placeholder)
Lo Siento,68,226183,Unknown Artist (Placeholder)
Nuestra Cancion Pt. 2 (feat. Arcángel),46,215003,Unknown Artist (Placeholder)
La Hora Loca,44,175239,Unknown Artist (Placeholder)
Dinero - English Version,37,161093,Unknown Artist (Placeholder)
Pum Pum (feat. Kap G & Play-N-Skillz),53,182224,Unknown Artist (Placeholder)
Hora Loca,65,215421,Unknown Artist (Placeholder)
Better With You,68,196018,Unknown Artist (Placeholder)
NIGHTS LIKE THESE,59,204453,Unknown Artist (Placeholder)
Alright,43,229038,Unknown Artist (Placeholder)
Insecure,53,191906,Unknown Artist (Placeholder)
Si Una Vez - (If I Once)[Spanglish Version],54,237860,Unknown Artist (Placeholder)
Finesse (Remix) [feat. Cardi B],84,217288,Unknown Artist (Placeholder)
Belong To U,44,202574,Unknown Artist (Placeholder)
Sunny Daze,40,167823,Unknown Artist (Placeholder)
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,241135,Unknown Artist (Placeholder)
Island,37,194011,Unknown Artist (Placeholder)
Crazy In Love,79,236133,Unknown Artist (Placeholder)
Rock Your Body,74,267266,Unknown Artist (Placeholder)
Beautiful Girls,10,241933,Unknown Artist (Placeholder)
Toxic,60,198813,Unknown Artist (Placeholder)
Michael Jackson x Mark Ronson: Diamonds are Invincible,70,300026,Unknown Artist (Placeholder)
Yeah!,79,250373,Unknown Artist (Placeholder)
Live Your Life (feat. Rihanna),76,338853,Unknown Artist (Placeholder)
Hips Don't Lie,84,218093,Unknown Artist (Placeholder)
"Hey, Soul Sister",77,216666,Unknown Artist (Placeholder)
Pumped Up Kicks,84,239600,Unknown Artist (Placeholder)
Love Never Felt so Good,74,246026,Unknown Artist (Placeholder)
Hall of Fame,79,202533,Unknown Artist (Placeholder)
All of Me,85,269560,Unknown Artist (Placeholder)
Drops of Jupiter,78,259933,Unknown Artist (Placeholder)
We Can't Stop,78,231240,Unknown Artist (Placeholder)
Fighter,69,245960,Unknown Artist (Placeholder)
Since U Been Gone,75,188960,Unknown Artist (Placeholder)
Hey Ya! - Radio Mix / Club Mix,76,235213,Unknown Artist (Placeholder)
TiK ToK,71,199693,Unknown Artist (Placeholder)
Look At Me Now,71,223933,Unknown Artist (Placeholder)
SexyBack,77,242733,Unknown Artist (Placeholder)
With You,69,252160,Unknown Artist (Placeholder)
Breakeven,76,261426,Unknown Artist (Placeholder)
I Know You Want Me (Calle Ocho),65,237120,Unknown Artist (Placeholder)
Bye Bye Bye,73,200400,Unknown Artist (Placeholder)
Complicated,77,244506,Unknown Artist (Placeholder)
Let Me Love You,80,256733,Unknown Artist (Placeholder)
Beautiful,73,238560,Unknown Artist (Placeholder)
Raise Your Glass,54,203306,Unknown Artist (Placeholder)
Timber,75,204160,Unknown Artist (Placeholder)
What Makes You Beautiful,69,198053,Unknown Artist (Placeholder)
No One,79,253813,Unknown Artist (Placeholder)
Sk8er Boi,74,204000,Unknown Artist (Placeholder)
Womanizer,76,224400,Unknown Artist (Placeholder)
Give Me Everything,75,252306,Unknown Artist (Placeholder)
Single Ladies (Put a Ring on It),72,193213,Unknown Artist (Placeholder)
Bleeding Love,81,262466,Unknown Artist (Placeholder)
Lose My Breath,63,242013,Unknown Artist (Placeholder)
Love Song,77,258826,Unknown Artist (Placeholder)
Ms. Jackson,78,270506,Unknown Artist (Placeholder)
Die Young,72,211920,Unknown Artist (Placeholder)
Survivor,62,254040,Unknown Artist (Placeholder)
Oops!...I Did It Again,77,211160,Unknown Artist (Placeholder)
Cry Me a River,77,288333,Unknown Artist (Placeholder)
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,248413,Unknown Artist (Placeholder)
Whatever You Like,75,249533,Unknown Artist (Placeholder)
"One, Two Step",78,203786,Unknown Artist (Placeholder)
Unwritten,77,259333,Unknown Artist (Placeholder)
Wrecking Ball,74,221360,Unknown Artist (Placeholder)
So What,65,215160,Unknown Artist (Placeholder)
"Whenever, Wherever",76,196160,Unknown Artist (Placeholder)
Baby Boy,69,244826,Unknown Artist (Placeholder)
It's Gonna Be Me,67,192426,Unknown Artist (Placeholder)
My Boo,77,223440,Unknown Artist (Placeholder)
Stronger (What Doesn't Kill You),52,221920,Unknown Artist (Placeholder)
Over My Head (Cable Car),60,236373,Unknown Artist (Placeholder)
For the First Time,65,252853,Unknown Artist (Placeholder)
Girlfriend,69,216600,Unknown Artist (Placeholder)
Fallin',76,210200,Unknown Artist (Placeholder)
How to Save a Life,83,262533,Unknown Artist (Placeholder)
Not Over You,69,218520,Unknown Artist (Placeholder)
Before He Cheats,73,199946,Unknown Artist (Placeholder)
Dirrty (feat. Redman),72,298853,Unknown Artist (Placeholder)
Caught Up,31,224946,Unknown Artist (Placeholder)
If I Ain't Got You,81,228706,Unknown Artist (Placeholder)
Wherever You Will Go,67,209360,Unknown Artist (Placeholder)
You Found Me,76,241853,Unknown Artist (Placeholder)
"Independent Women, Pt. 1",63,221626,Unknown Artist (Placeholder)
Because of You,75,219493,Unknown Artist (Placeholder)
Get The Party Started,67,191666,Unknown Artist (Placeholder)
The Anthem,73,175093,Unknown Artist (Placeholder)
I Don't Want to Be,63,217760,Unknown Artist (Placeholder)
The Way You Move (feat. Sleepy Brown) - Club Mix,68,234000,Unknown Artist (Placeholder)
Better in Time,73,234173,Unknown Artist (Placeholder)
Over You,64,204853,Unknown Artist (Placeholder)
The Great Escape,67,206520,Unknown Artist (Placeholder)
Your Body Is a Wonderland,78,249626,Unknown Artist (Placeholder)
Superman (It's Not Easy),48,222000,Unknown Artist (Placeholder)
Vivir Mi Vida,68,251160,Unknown Artist (Placeholder)
La Vida Es Un Carnaval,24,275253,Unknown Artist (Placeholder)
Lambada - Original Version 1989,67,207466,Unknown Artist (Placeholder)
La Camisa Negra,72,216706,Unknown Artist (Placeholder)
La Gota Fría,66,215493,Unknown Artist (Placeholder)
Suavemente,63,267000,Unknown Artist (Placeholder)
Bailando - Spanish Version,71,243413,Unknown Artist (Placeholder)
Danza Kuduro,71,198786,Unknown Artist (Placeholder)
Conga,59,252933,Unknown Artist (Placeholder)
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66,232880,Unknown Artist (Placeholder)
Guantanamera,58,199316,Unknown Artist (Placeholder)
El Matador,11,277600,Unknown Artist (Placeholder)
Amor Prohibido,61,164120,Unknown Artist (Placeholder)
Mi Gente,77,189440,Unknown Artist (Placeholder)
Obsesion,74,254720,Unknown Artist (Placeholder)
Let's Get Loud,70,239400,Unknown Artist (Placeholder)
Oye Como Va,56,272546,Unknown Artist (Placeholder)
Despacito (Featuring Daddy Yankee),80,228200,Unknown Artist (Placeholder)
Bamboleo,54,203173,Unknown Artist (Placeholder)
Pedro Navaja,60,443480,Unknown Artist (Placeholder)
Gasolina,77,192600,Unknown Artist (Placeholder)
Mambo No 5,52,162213,Unknown Artist (Placeholder)
De Música Ligera,51,212893,Unknown Artist (Placeholder)
Macarena,62,249506,Unknown Artist (Placeholder)
La Bamba,57,172733,Unknown Artist (Placeholder)
Querida,4,319560,Unknown Artist (Placeholder)
Maria Maria - Radio Mix,56,262160,Unknown Artist (Placeholder)
La ingrata,65,212000,Unknown Artist (Placeholder)
Corazón partio,74,343413,Unknown Artist (Placeholder)
I Know You Want Me (Calle Ocho),7,238680,Unknown Artist (Placeholder)
Livin' la Vida Loca,73,243160,Unknown Artist (Placeholder)
Rebelión,43,378373,Unknown Artist (Placeholder)
La Maza,58,351400,Unknown Artist (Placeholder)
Amor Eterno,59,408440,Unknown Artist (Placeholder)
Besame Mucho,7,181960,Unknown Artist (Placeholder)
Mais Que Nada,52,159466,Unknown Artist (Placeholder)
El Cantante,58,622520,Unknown Artist (Placeholder)
Chan Chan,7,257213,Unknown Artist (Placeholder)
Amigo,41,208866,Unknown Artist (Placeholder)
The Girl From Ipanema - Stereo Version,50,325506,Unknown Artist (Placeholder)
Oye Mi Amor,63,263306,Unknown Artist (Placeholder)
Latinoamérica,68,301426,Unknown Artist (Placeholder)
"Soy un Truhán, Soy un Señor",50,183546,Unknown Artist (Placeholder)
Mediterraneo,60,205226,Unknown Artist (Placeholder)
Gracias a la Vida,52,278040,Unknown Artist (Placeholder)
La Cumparsita,42,193800,Unknown Artist (Placeholder)
Paloma negra,50,195533,Unknown Artist (Placeholder)
El Rey,40,128386,Unknown Artist (Placeholder)
Feliz Navidad,57,182226,Unknown Artist (Placeholder)
All Along the Watchtower,78,240800,Unknown Artist (Placeholder)
My Generation - Stereo Version,69,198706,Unknown Artist (Placeholder)
(I Can't Get No) Satisfaction,48,222746,Unknown Artist (Placeholder)
"Hello, I Love You",63,133200,Unknown Artist (Placeholder)
Whole Lotta Love,77,333893,Unknown Artist (Placeholder)
Hey Jude - Remastered 2015,77,425653,Unknown Artist (Placeholder)
White Room,71,303200,Unknown Artist (Placeholder)
You Really Got Me - Mono Mix,71,134253,Unknown Artist (Placeholder)
Surfin' U.S.A. - Remastered,70,149373,Unknown Artist (Placeholder)
"Oh, Pretty Woman",71,178933,Unknown Artist (Placeholder)
Back In The U.S.S.R. - 2018 Mix,61,163466,Unknown Artist (Placeholder)
For What It's Worth,75,153693,Unknown Artist (Placeholder)
Fortunate Son,81,140773,Unknown Artist (Placeholder)
Born To Be Wild - Single Version,67,212893,Unknown Artist (Placeholder)
House Of The Rising Sun,70,271280,Unknown Artist (Placeholder)
Louie Louie,68,165381,Unknown Artist (Placeholder)
I Heard It Through The Grapevine - Single Version (Mono),61,193493,Unknown Artist (Placeholder)
Crimson And Clover - Single Version,56,208666,Unknown Artist (Placeholder)
Evil Ways,59,238266,Unknown Artist (Placeholder)
Purple Haze,71,170813,Unknown Artist (Placeholder)
California Dreamin' - Single Version,73,162373,Unknown Artist (Placeholder)
Like a Rolling Stone,72,369600,Unknown Artist (Placeholder)
Suite: Judy Blue Eyes - Remastered,64,444053,Unknown Artist (Placeholder)
Turn! Turn! Turn! (To Everything There Is a Season),65,229360,Unknown Artist (Placeholder)
I Saw Her Standing There - Remastered 2009,68,173946,Unknown Artist (Placeholder)
Light My Fire,71,429760,Unknown Artist (Placeholder)
Pinball Wizard,69,180943,Unknown Artist (Placeholder)
The Sounds of Silence,54,184880,Unknown Artist (Placeholder)
Green Onions,66,176333,Unknown Artist (Placeholder)
Sweet Caroline - Single Version,58,201800,Unknown Artist (Placeholder)
Good Lovin' - Single Version,52,150906,Unknown Artist (Placeholder)
The Twist,60,153760,Unknown Artist (Placeholder)
Sunshine Of Your Love,72,250000,Unknown Artist (Placeholder)
Hit the Road Jack,13,120173,Unknown Artist (Placeholder)
Proud Mary,30,187213,Unknown Artist (Placeholder)
Dazed And Confused,63,386373,Unknown Artist (Placeholder)
Summertime Blues,37,226906,Unknown Artist (Placeholder)
I Want To Hold Your Hand - Remastered 2015,74,145746,Unknown Artist (Placeholder)
Runaround Sue,64,171600,Unknown Artist (Placeholder)
All Day and All of the Night - 2014 Remastered Version,38,142480,Unknown Artist (Placeholder)
River Deep - Mountain High,51,214880,Unknown Artist (Placeholder)
Summer in the City - Remastered,63,160306,Unknown Artist (Placeholder)
Jumpin' Jack Flash - Mono / Remastered,21,219466,Unknown Artist (Placeholder)
Foxey Lady,62,198773,Unknown Artist (Placeholder)
Somebody to Love,69,174840,Unknown Artist (Placeholder)
Time Has Come Today,53,290933,Unknown Artist (Placeholder)
Heart Full of Soul,63,147893,Unknown Artist (Placeholder)
Do You Believe in Magic?,66,125826,Unknown Artist (Placeholder)
"Paint It, Black - Mono",67,204480,Unknown Artist (Placeholder)
Good Vibrations - Remastered,70,219026,Unknown Artist (Placeholder)
Psychotic Reaction,55,185523,Unknown Artist (Placeholder)
Yesterday - Remastered 2009,74,125666,Unknown Artist (Placeholder)
Nights In White Satin - Single Version / Mono Mix,66,269106,Unknown Artist (Placeholder)
Space Oddity - 2015 Remastered Version,72,318813,Unknown Artist (Placeholder)
Magic Carpet Ride,68,271573,Unknown Artist (Placeholder)
Needles and Pins - Mono,58,131360,Unknown Artist (Placeholder)
The Weight - Remastered,55,278626,Unknown Artist (Placeholder)
Bring It On Home to Me,71,162533,Unknown Artist (Placeholder)
Bad Moon Rising,71,141600,Unknown Artist (Placeholder)
Crying,59,166466,Unknown Artist (Placeholder)
Revolution - Remastered,67,205293,Unknown Artist (Placeholder)
Shop Around,54,170760,Unknown Artist (Placeholder)
I Fought The Law,57,138360,Unknown Artist (Placeholder)
The Times They Are A-Changin',70,192053,Unknown Artist (Placeholder)
Honky Tonk Women,57,179386,Unknown Artist (Placeholder)
The End - Remastered,49,710826,Unknown Artist (Placeholder)
She Loves You - Mono / Remastered,67,140920,Unknown Artist (Placeholder)
Heartbreaker,64,254133,Unknown Artist (Placeholder)
Brown Eyed Girl,80,183306,Unknown Artist (Placeholder)
Gimme Shelter,75,270773,Unknown Artist (Placeholder)
Touch Me,63,190253,Unknown Artist (Placeholder)
Surf City - Remastered 1990 / Stereo Remix,47,163026,Unknown Artist (Placeholder)
White Rabbit,70,150640,Unknown Artist (Placeholder)
Green River,60,154120,Unknown Artist (Placeholder)
I Get Around (Mono) - Mono,66,134386,Unknown Artist (Placeholder)
Mr. Tambourine Man,61,149466,Unknown Artist (Placeholder)
With A Little Help From My Friends - Remastered 2009,67,164106,Unknown Artist (Placeholder)
Hush - 2014 Remastered Version,38,252040,Unknown Artist (Placeholder)
For Your Love,53,149733,Unknown Artist (Placeholder)
Street Fighting Man,58,194733,Unknown Artist (Placeholder)
Blowin' In the Wind,68,165426,Unknown Artist (Placeholder)
In My Room - Remastered,50,134133,Unknown Artist (Placeholder)
I'm A Man,14,176160,Unknown Artist (Placeholder)
Gloria - Stereo Version,52,156106,Unknown Artist (Placeholder)
Itchycoo Park,49,172746,Unknown Artist (Placeholder)
Wild Thing,54,158250,Unknown Artist (Placeholder)
Care Of Cell 44,52,235826,Unknown Artist (Placeholder)
See Emily Play - 2016 Remastered Version,33,174573,Unknown Artist (Placeholder)
Alone Again Or - 2015 Remastered Version,58,197274,Unknown Artist (Placeholder)
Psychotic Reaction - Rarities Version,8,189848,Unknown Artist (Placeholder)
Slip Inside This House - Stereo LP Version,43,482278,Unknown Artist (Placeholder)
I Had Too Much To Dream (Last Night),49,178266,Unknown Artist (Placeholder)
96 Tears,30,177426,Unknown Artist (Placeholder)
Have Love Will Travel,55,160400,Unknown Artist (Placeholder)
Kick out the Jams,40,181760,Unknown Artist (Placeholder)
I Hate You,42,213706,Unknown Artist (Placeholder)
I Wanna Be Your Dog,62,188560,Unknown Artist (Placeholder)
I'm Waiting For The Man - Album Version (Stereo),16,279520,Unknown Artist (Placeholder)
Eight Miles High,56,214640,Unknown Artist (Placeholder)
Wipe Out,42,166092,Unknown Artist (Placeholder)
More Than Words,69,334106,Unknown Artist (Placeholder)
Free Fallin',73,256000,Unknown Artist (Placeholder)
Landslide,77,199493,Unknown Artist (Placeholder)
Lean on Me,69,258834,Unknown Artist (Placeholder)
Hotel California - Remastered,83,391376,Unknown Artist (Placeholder)
Fast Car,79,296800,Unknown Artist (Placeholder)
You're So Vain,74,258411,Unknown Artist (Placeholder)
Dust in the Wind,76,206266,Unknown Artist (Placeholder)
Ooh La La,64,214080,Unknown Artist (Placeholder)
You've Got A Friend,53,268706,Unknown Artist (Placeholder)
Redemption Song,71,233560,Unknown Artist (Placeholder)
Crazy Love,54,155453,Unknown Artist (Placeholder)
I'm on Fire,72,155880,Unknown Artist (Placeholder)
Heart Of Gold,70,187013,Unknown Artist (Placeholder)
Wildflowers - Remastered,13,216573,Unknown Artist (Placeholder)
"Rocket Man (I Think It's Going To Be A Long, Long Time)",80,281613,Unknown Artist (Placeholder)
In The Air Tonight - 2015 Remastered,77,336453,Unknown Artist (Placeholder)
Wicked Game - Remastered,65,286880,Unknown Artist (Placeholder)
Hallelujah,64,277160,Unknown Artist (Placeholder)
My Sweet Lord,78,281226,Unknown Artist (Placeholder)
A Horse with No Name,77,252239,Unknown Artist (Placeholder)
Jolene,76,161533,Unknown Artist (Placeholder)
Let It Be - Remastered 2009,78,243026,Unknown Artist (Placeholder)
Maggie May,72,350266,Unknown Artist (Placeholder)
Me and Julio Down by the Schoolyard,71,164813,Unknown Artist (Placeholder)
Where You Lead,62,200146,Unknown Artist (Placeholder)
Me and Bobby McGee,69,271333,Unknown Artist (Placeholder)
If You Could Read My Mind,60,229560,Unknown Artist (Placeholder)
Pink Moon,64,123173,Unknown Artist (Placeholder)
Walkin' Back to Georgia,59,170759,Unknown Artist (Placeholder)
Going To California,55,212160,Unknown Artist (Placeholder)
"My My, Hey Hey (Out of the Blue)",67,227705,Unknown Artist (Placeholder)
I Walk the Line,71,176533,Unknown Artist (Placeholder)
Across The Universe - Remastered 2009,66,228133,Unknown Artist (Placeholder)
Wild World,75,200160,Unknown Artist (Placeholder)
California,62,230226,Unknown Artist (Placeholder)
"Dreams (Sessions, Roughs & Outtakes) - 2004 Remastered Edition",49,261546,Unknown Artist (Placeholder)
Tangled up in Blue,63,341626,Unknown Artist (Placeholder)
Imagine - Remastered 2010,77,187866,Unknown Artist (Placeholder)
Maybe I’m Amazed - Remastered 2011,65,229826,Unknown Artist (Placeholder)
Tom's Diner,46,129106,Unknown Artist (Placeholder)
Easy,58,260893,Unknown Artist (Placeholder)
Up Where We Belong,62,233240,Unknown Artist (Placeholder)
Life On Mars? - 2015 Remastered Version,71,235986,Unknown Artist (Placeholder)
Personal Jesus - Acoustic Version,45,207866,Unknown Artist (Placeholder)
Wuthering Heights,66,269066,Unknown Artist (Placeholder)
Stuck In The Middle With You - Remastered,63,201334,Unknown Artist (Placeholder)
Just The Two Of Us (feat. Bill Withers),65,237106,Unknown Artist (Placeholder)
(You Make Me Feel Like) A Natural Woman,62,229066,Unknown Artist (Placeholder)
Cecilia,68,174826,Unknown Artist (Placeholder)
Our House,67,179760,Unknown Artist (Placeholder)
And It Stoned Me,50,272160,Unknown Artist (Placeholder)
Famous Blue Raincoat,58,310773,Unknown Artist (Placeholder)
All Things Must Pass,59,226866,Unknown Artist (Placeholder)
Stand By Me - Remastered,63,211666,Unknown Artist (Placeholder)
"Baby, I Love Your Way",50,309760,Unknown Artist (Placeholder)
Solsbury Hill,21,262600,Unknown Artist (Placeholder)
Boulder To Birmingham - Remastered,48,213026,Unknown Artist (Placeholder)
Something On Your Mind,53,203333,Unknown Artist (Placeholder)
You're The Inspiration - 2006 Remastered Version,72,229240,Unknown Artist (Placeholder)
Ripple,44,250333,Unknown Artist (Placeholder)
You Are So Beautiful,53,159640,Unknown Artist (Placeholder)
Blue Bayou,63,239399,Unknown Artist (Placeholder)
Bohemian Rhapsody - Remastered 2011,59,354320,Unknown Artist (Placeholder)
Stairway To Heaven,80,482830,Unknown Artist (Placeholder)
London Calling - Remastered,71,200480,Unknown Artist (Placeholder)
Riders On The Storm,74,434720,Unknown Artist (Placeholder)
Rock And Roll All Nite,74,168826,Unknown Artist (Placeholder)
Who Are You,63,381626,Unknown Artist (Placeholder)
Changes - 2015 Remastered Version,65,217746,Unknown Artist (Placeholder)
Who'll Stop The Rain,66,147493,Unknown Artist (Placeholder)
Wild Horses,68,341773,Unknown Artist (Placeholder)
Dream On,79,266960,Unknown Artist (Placeholder)
Roxanne - Remastered 2003,68,191946,Unknown Artist (Placeholder)
Highway to Hell,83,208400,Unknown Artist (Placeholder)
Bang a Gong (Get It On) - Remastered Version,62,267000,Unknown Artist (Placeholder)
Smoke On the Water,63,342173,Unknown Artist (Placeholder)
Black Magic Woman,64,196466,Unknown Artist (Placeholder)
Message In A Bottle - Remastered 2003,71,290280,Unknown Artist (Placeholder)
Free Bird,71,547106,Unknown Artist (Placeholder)
Cocaine,70,221640,Unknown Artist (Placeholder)
Lola - Coca Cola Version,67,241040,Unknown Artist (Placeholder)
Black Dog,72,295386,Unknown Artist (Placeholder)
Blitzkrieg Bop - 2016 Remastered Version,70,134466,Unknown Artist (Placeholder)
I Want You to Want Me,66,191226,Unknown Artist (Placeholder)
Black Diamond,52,313466,Unknown Artist (Placeholder)
Blinded By The Light,63,428133,Unknown Artist (Placeholder)
American Girl,72,214733,Unknown Artist (Placeholder)
Brain Damage,67,226666,Unknown Artist (Placeholder)
Comfortably Numb,75,382296,Unknown Artist (Placeholder)
Born to Run,71,269920,Unknown Artist (Placeholder)
Layla - 40th Anniversary Version / 2010 Remastered,74,423840,Unknown Artist (Placeholder)
Just What I Needed,69,225626,Unknown Artist (Placeholder)
Anarchy In The U.K.,54,211973,Unknown Artist (Placeholder)
American Pie,74,515866,Unknown Artist (Placeholder)
Aqualung,64,396186,Unknown Artist (Placeholder)
Won't Get Fooled Again - Original Album Version,47,511293,Unknown Artist (Placeholder)
Iron Man - Remastered Version,67,355303,Unknown Artist (Placeholder)
The Boys Are Back in Town,74,266720,Unknown Artist (Placeholder)
Walk This Way,71,220400,Unknown Artist (Placeholder)
Maggie May - Remastered Version,53,345680,Unknown Artist (Placeholder)
The Joker,75,264503,Unknown Artist (Placeholder)
We Will Rock You - Remastered,71,122066,Unknown Artist (Placeholder)
Walk On the Wild Side,74,254173,Unknown Artist (Placeholder)
Brown Sugar,69,228666,Unknown Artist (Placeholder)
American Woman - Remastered,65,307493,Unknown Artist (Placeholder)
(Don't Fear) The Reaper,76,308120,Unknown Artist (Placeholder)
Heart of Gold,60,187013,Unknown Artist (Placeholder)
Running On Empty,68,298093,Unknown Artist (Placeholder)
Sultans Of Swing,68,350400,Unknown Artist (Placeholder)
Dreams - 2004 Remastered Edition,80,257800,Unknown Artist (Placeholder)
We Are The Champions - Remastered 2011,74,179200,Unknown Artist (Placeholder)
You Ain't Seen Nothing Yet,53,232466,Unknown Artist (Placeholder)
