song_name,original_popularity,has_audio_file,has_lyrics_file,audio_file_path,audio_original_name,audio_popularity_level,lyrics_file_path,lyrics_original_name,lyrics_popularity_level,final_popularity
Can't Stop,81,True,True,/app/songs/popularity_9/Can't Stop.mp3,Can't Stop - ,9.0,/app/lyrics/popularity_9/Can't Stop.txt,Can't Stop,9.0,90
Chop Suey!,69,True,True,/app/songs/popularity_7/Chop Suey!.mp3,Chop Suey! - ,7.0,/app/lyrics/popularity_7/Chop Suey!.txt,Chop Suey!,7.0,70
Best of You,62,True,True,/app/songs/popularity_7/Best of You.mp3,Best of You - ,7.0,/app/lyrics/popularity_7/Best of You.txt,Best of You,7.0,70
I Write Sins Not Tragedies,77,True,True,/app/songs/popularity_7/I Write Sins Not Tragedies.mp3,I Write Sins Not Tragedies - ,7.0,/app/lyrics/popularity_7/I Write Sins Not Tragedies.txt,I Write Sins Not Tragedies,7.0,70
Kryptonite,79,True,True,/app/songs/popularity_7/Kryptonite.mp3,Kryptonite - ,7.0,/app/lyrics/popularity_7/Kryptonite.txt,Kryptonite,7.0,70
The Kill (Bury Me),69,True,True,/app/songs/popularity_7/The Kill (Bury Me).mp3,The Kill (Bury Me) - ,7.0,/app/lyrics/popularity_7/The Kill (Bury Me).txt,The Kill (Bury Me),7.0,70
Use Somebody,79,True,True,/app/songs/popularity_7/Use Somebody.mp3,Use Somebody - ,7.0,/app/lyrics/popularity_7/Use Somebody.txt,Use Somebody,7.0,70
Jerk It Out,70,True,True,/app/songs/popularity_7/Jerk It Out.mp3,Jerk It Out - ,7.0,/app/lyrics/popularity_7/Jerk It Out.txt,Jerk It Out,7.0,70
Uprising,77,True,True,/app/songs/popularity_7/Uprising.mp3,Uprising - ,7.0,/app/lyrics/popularity_7/Uprising.txt,Uprising,7.0,70
Hey There Delilah,79,True,True,/app/songs/popularity_7/Hey There Delilah.mp3,Hey There Delilah - ,7.0,/app/lyrics/popularity_7/Hey There Delilah.txt,Hey There Delilah,7.0,70
Gives You Hell,71,True,True,/app/songs/popularity_8/Gives You Hell.mp3,Gives You Hell - ,8.0,/app/lyrics/popularity_8/Gives You Hell.txt,Gives You Hell,8.0,80
Like a Stone,77,True,True,/app/songs/popularity_8/Like a Stone.mp3,Like a Stone - ,8.0,/app/lyrics/popularity_8/Like a Stone.txt,Like a Stone,8.0,80
I Hate Everything About You,75,True,True,/app/songs/popularity_8/I Hate Everything About You.mp3,I Hate Everything About You - ,8.0,/app/lyrics/popularity_8/I Hate Everything About You.txt,I Hate Everything About You,8.0,80
Rollin' (Air Raid Vehicle),74,True,True,/app/songs/popularity_8/Rollin' (Air Raid Vehicle).mp3,Rollin' (Air Raid Vehicle) - ,8.0,/app/lyrics/popularity_8/Rollin' (Air Raid Vehicle).txt,Rollin' (Air Raid Vehicle),8.0,80
Fat Lip,74,True,True,/app/songs/popularity_8/Fat Lip.mp3,Fat Lip - ,8.0,/app/lyrics/popularity_8/Fat Lip.txt,Fat Lip,8.0,80
The Pretender,78,True,True,/app/songs/popularity_8/The Pretender.mp3,The Pretender - ,8.0,/app/lyrics/popularity_8/The Pretender.txt,The Pretender,8.0,80
Savior,73,True,True,/app/songs/popularity_8/Savior.mp3,Savior - ,8.0,/app/lyrics/popularity_8/Savior.txt,Savior,8.0,80
Bodies,74,True,True,/app/songs/popularity_8/Bodies.mp3,Bodies - ,8.0,/app/lyrics/popularity_8/Bodies.txt,Bodies,8.0,80
"Sugar, We're Goin Down",79,True,True,"/app/songs/popularity_8/Sugar, We're Goin Down.mp3","Sugar, We're Goin Down - ",8.0,"/app/lyrics/popularity_8/Sugar, We're Goin Down.txt","Sugar, We're Goin Down",8.0,80
Through Glass,60,True,True,/app/songs/popularity_6/Through Glass.mp3,Through Glass - ,6.0,/app/lyrics/popularity_6/Through Glass.txt,Through Glass,6.0,60
Down With the Sickness,73,True,True,/app/songs/popularity_8/Down With the Sickness.mp3,Down With the Sickness - ,8.0,/app/lyrics/popularity_8/Down With the Sickness.txt,Down With the Sickness,8.0,80
Vertigo,57,True,True,/app/songs/popularity_6/Vertigo.mp3,Vertigo - ,6.0,/app/lyrics/popularity_6/Vertigo.txt,Vertigo,6.0,60
Crawling In The Dark,61,True,True,/app/songs/popularity_6/Crawling In The Dark.mp3,Crawling In The Dark - ,6.0,/app/lyrics/popularity_6/Crawling In The Dark.txt,Crawling In The Dark,6.0,60
Woman,63,True,True,/app/songs/popularity_6/Woman.mp3,Woman - ,6.0,/app/lyrics/popularity_6/Woman.txt,Woman,6.0,60
Plug In Baby,65,True,True,/app/songs/popularity_7/Plug In Baby.mp3,Plug In Baby - ,7.0,/app/lyrics/popularity_7/Plug In Baby.txt,Plug In Baby,7.0,70
MIA (feat. Drake),94,True,True,/app/songs/popularity_10/MIA (feat. Drake).mp3,MIA (feat. Drake) - ,10.0,/app/lyrics/popularity_10/MIA (feat. Drake).txt,MIA (feat. Drake),10.0,100
White Boi,59,True,True,/app/songs/popularity_6/White Boi.mp3,White Boi - ,6.0,/app/lyrics/popularity_6/White Boi.txt,White Boi,6.0,60
Beautiful (feat. Camila Cabello),94,True,True,/app/songs/popularity_10/Beautiful (feat. Camila Cabello).mp3,Beautiful (feat. Camila Cabello) - ,10.0,/app/lyrics/popularity_3/Beautiful.txt,Beautiful,3.0,100
Celoso,87,True,True,/app/songs/popularity_9/Celoso.mp3,Celoso - ,9.0,/app/lyrics/popularity_9/Celoso.txt,Celoso,9.0,90
Pa La Calle,61,True,True,/app/songs/popularity_7/Pa La Calle.mp3,Pa La Calle - ,7.0,/app/lyrics/popularity_7/Pa La Calle.txt,Pa La Calle,7.0,70
Pa Mí,58,True,True,/app/songs/popularity_6/Pa Mí.mp3,Pa Mí - ,6.0,/app/lyrics/popularity_6/Pa Mí.txt,Pa Mí,6.0,60
Wake Up in the Sky,92,True,True,/app/songs/popularity_10/Wake Up in the Sky.mp3,Wake Up in the Sky - ,10.0,/app/lyrics/popularity_10/Wake Up in the Sky.txt,Wake Up in the Sky,10.0,100
Está Rico,83,True,True,/app/songs/popularity_8/Está Rico.mp3,Está Rico - ,8.0,/app/lyrics/popularity_8/Está Rico.txt,Está Rico,8.0,80
YAKWTFGO (feat. Kali Uchis),44,True,True,/app/songs/popularity_5/YAKWTFGO (feat. Kali Uchis).mp3,YAKWTFGO (feat. Kali Uchis) - ,5.0,/app/lyrics/popularity_5/YAKWTFGO (feat. Kali Uchis).txt,YAKWTFGO (feat. Kali Uchis),5.0,50
Come With Me,47,True,True,/app/songs/popularity_5/Come With Me.mp3,Come With Me - ,5.0,/app/lyrics/popularity_5/Come With Me.txt,Come With Me,5.0,50
Blah,47,True,True,/app/songs/popularity_5/Blah.mp3,Blah - ,5.0,/app/lyrics/popularity_5/Blah.txt,Blah,5.0,50
Coqueta,49,True,True,/app/songs/popularity_5/Coqueta.mp3,Coqueta - ,5.0,/app/lyrics/popularity_5/Coqueta.txt,Coqueta,5.0,50
Nuestro Planeta (feat. Reykon),64,True,True,/app/songs/popularity_7/Nuestro Planeta (feat. Reykon).mp3,Nuestro Planeta (feat. Reykon) - ,7.0,/app/lyrics/popularity_7/Nuestro Planeta (feat. Reykon).txt,Nuestro Planeta (feat. Reykon),7.0,70
Hijo de Su Madre,61,True,True,/app/songs/popularity_7/Hijo de Su Madre.mp3,Hijo de Su Madre - ,7.0,/app/lyrics/popularity_7/Hijo de Su Madre.txt,Hijo de Su Madre,7.0,70
Lento,65,True,True,/app/songs/popularity_7/Lento.mp3,Lento - ,7.0,/app/lyrics/popularity_7/Lento.txt,Lento,7.0,70
BEBE,95,True,True,/app/songs/popularity_10/BEBE.mp3,BEBE - ,10.0,/app/lyrics/popularity_10/BEBE.txt,BEBE,10.0,100
Pum Pum,45,True,True,/app/songs/popularity_5/Pum Pum.mp3,Pum Pum - ,5.0,/app/lyrics/popularity_5/Pum Pum.txt,Pum Pum,5.0,50
Como,38,True,True,/app/songs/popularity_4/Como.mp3,Como - ,4.0,/app/lyrics/popularity_4/Como.txt,Como,4.0,40
Nice & Slow,38,True,True,/app/songs/popularity_4/Nice & Slow.mp3,Nice & Slow - ,4.0,/app/lyrics/popularity_4/Nice & Slow.txt,Nice & Slow,4.0,40
Don't Werk,39,True,True,/app/songs/popularity_4/Don't Werk.mp3,Don't Werk - ,4.0,/app/lyrics/popularity_4/Don't Werk.txt,Don't Werk,4.0,40
Lo Siento,68,True,True,/app/songs/popularity_7/Lo Siento.mp3,Lo Siento - ,7.0,/app/lyrics/popularity_7/Lo Siento.txt,Lo Siento,7.0,70
La Hora Loca,44,True,True,/app/songs/popularity_7/Hora Loca.mp3,Hora Loca - ,7.0,/app/lyrics/popularity_7/Hora Loca.txt,Hora Loca,7.0,70
Dinero - English Version,37,True,True,/app/songs/popularity_4/Dinero - English Version.mp3,Dinero - English Version - ,4.0,/app/lyrics/popularity_4/Dinero - English Version -.txt,Dinero - English Version -,4.0,40
Alright,43,True,True,/app/songs/popularity_4/Alright.mp3,Alright - ,4.0,/app/lyrics/popularity_4/Alright.txt,Alright,4.0,40
Insecure,53,True,True,/app/songs/popularity_5/Insecure.mp3,Insecure - ,5.0,/app/lyrics/popularity_5/Insecure.txt,Insecure,5.0,50
Si Una Vez - (If I Once)[Spanglish Version],54,True,True,/app/songs/popularity_5/Si Una Vez - (If I Once)[Spanglish Version].mp3,Si Una Vez - (If I Once)[Spanglish Version] - ,5.0,/app/lyrics/popularity_5/Si Una Vez - (If I Once)[Spanglish Version] -.txt,Si Una Vez - (If I Once)[Spanglish Version] -,5.0,50
Sunny Daze,40,True,True,/app/songs/popularity_4/Sunny Daze.mp3,Sunny Daze - ,4.0,/app/lyrics/popularity_4/Sunny Daze.txt,Sunny Daze,4.0,40
I Know You Want Me (Calle Ocho),65,True,True,/app/songs/popularity_1/I Know You Want Me (Calle Ocho).mp3,I Know You Want Me (Calle Ocho) - ,1.0,/app/lyrics/popularity_1/I Know You Want Me (Calle Ocho).txt,I Know You Want Me (Calle Ocho),1.0,10
Complicated,77,True,True,/app/songs/popularity_3/Complicated.mp3,Complicated - ,3.0,/app/lyrics/popularity_3/Complicated.txt,Complicated,3.0,30
Beautiful,73,True,True,/app/songs/popularity_3/Beautiful.mp3,Beautiful - ,3.0,/app/lyrics/popularity_3/Beautiful.txt,Beautiful,3.0,30
Raise Your Glass,54,True,True,/app/songs/popularity_5/Raise Your Glass.mp3,Raise Your Glass - ,5.0,/app/lyrics/popularity_5/Raise Your Glass.txt,Raise Your Glass,5.0,50
Stronger (What Doesn't Kill You),52,True,True,/app/songs/popularity_5/Stronger (What Doesn't Kill You).mp3,Stronger (What Doesn't Kill You) - ,5.0,/app/lyrics/popularity_5/Stronger (What Doesn't Kill You).txt,Stronger (What Doesn't Kill You),5.0,50
Over My Head (Cable Car),60,True,True,/app/songs/popularity_6/Over My Head (Cable Car).mp3,Over My Head (Cable Car) - ,6.0,/app/lyrics/popularity_6/Over My Head (Cable Car).txt,Over My Head (Cable Car),6.0,60
Superman (It's Not Easy),48,True,True,/app/songs/popularity_4/Superman (It's Not Easy).mp3,Superman (It's Not Easy) - ,4.0,/app/lyrics/popularity_4/Superman (It's Not Easy).txt,Superman (It's Not Easy),4.0,40
Conga,59,True,True,/app/songs/popularity_5/Conga.mp3,Conga - ,5.0,/app/lyrics/popularity_5/Conga.txt,Conga,5.0,50
Guantanamera,58,True,True,/app/songs/popularity_6/Guantanamera.mp3,Guantanamera - ,6.0,/app/lyrics/popularity_6/Guantanamera.txt,Guantanamera,6.0,60
El Matador,11,True,True,/app/songs/popularity_2/El Matador.mp3,El Matador - ,2.0,/app/lyrics/popularity_2/El Matador.txt,El Matador,2.0,20
Oye Como Va,56,True,True,/app/songs/popularity_6/Oye Como Va.mp3,Oye Como Va - ,6.0,/app/lyrics/popularity_6/Oye Como Va.txt,Oye Como Va,6.0,60
Bamboleo,54,True,True,/app/songs/popularity_6/Bamboleo.mp3,Bamboleo - ,6.0,/app/lyrics/popularity_6/Bamboleo.txt,Bamboleo,6.0,60
Pedro Navaja,60,True,True,/app/songs/popularity_6/Pedro Navaja.mp3,Pedro Navaja - ,6.0,/app/lyrics/popularity_6/Pedro Navaja.txt,Pedro Navaja,6.0,60
Mambo No 5,52,True,True,/app/songs/popularity_6/Mambo No 5.mp3,Mambo No 5 - ,6.0,/app/lyrics/popularity_6/Mambo No 5.txt,Mambo No 5,6.0,60
Querida,4,True,True,/app/songs/popularity_1/Querida.mp3,Querida - ,1.0,/app/lyrics/popularity_1/Querida.txt,Querida,1.0,10
Rebelión,43,True,True,/app/songs/popularity_4/Rebelión.mp3,Rebelión - ,4.0,/app/lyrics/popularity_4/Rebelión.txt,Rebelión,4.0,40
Besame Mucho,7,True,True,/app/songs/popularity_1/Besame Mucho.mp3,Besame Mucho - ,1.0,/app/lyrics/popularity_1/Besame Mucho.txt,Besame Mucho,1.0,10
Chan Chan,7,True,True,/app/songs/popularity_1/Chan Chan.mp3,Chan Chan - ,1.0,/app/lyrics/popularity_1/Chan Chan.txt,Chan Chan,1.0,10
"Soy un Truhán, Soy un Señor",50,True,True,"/app/songs/popularity_5/Soy un Truhán, Soy un Señor.mp3","Soy un Truhán, Soy un Señor - ",5.0,"/app/lyrics/popularity_5/Soy un Truhán, Soy un Señor.txt","Soy un Truhán, Soy un Señor",5.0,50
La Cumparsita,42,True,True,/app/songs/popularity_4/La Cumparsita.mp3,La Cumparsita - ,4.0,/app/lyrics/popularity_4/La Cumparsita.txt,La Cumparsita,4.0,40
Paloma negra,50,True,True,/app/songs/popularity_5/Paloma negra.mp3,Paloma negra - ,5.0,/app/lyrics/popularity_5/Paloma negra.txt,Paloma negra,5.0,50
(I Can't Get No) Satisfaction,48,True,True,/app/songs/popularity_5/(I Can't Get No) Satisfaction.mp3,(I Can't Get No) Satisfaction - ,5.0,/app/lyrics/popularity_5/(I Can't Get No) Satisfaction.txt,(I Can't Get No) Satisfaction,5.0,50
Hit the Road Jack,13,True,True,/app/songs/popularity_2/Hit the Road Jack.mp3,Hit the Road Jack - ,2.0,/app/lyrics/popularity_2/Hit the Road Jack.txt,Hit the Road Jack,2.0,20
Proud Mary,30,True,True,/app/songs/popularity_3/Proud Mary.mp3,Proud Mary - ,3.0,/app/lyrics/popularity_3/Proud Mary.txt,Proud Mary,3.0,30
The End - Remastered,49,True,True,/app/songs/popularity_5/The End - Remastered.mp3,The End - Remastered - ,5.0,/app/lyrics/popularity_7/In The End.txt,In The End,7.0,50
Brown Eyed Girl,80,True,True,/app/songs/popularity_3/Brown Eyed Girl.mp3,Brown Eyed Girl - ,3.0,/app/lyrics/popularity_3/Brown Eyed Girl.txt,Brown Eyed Girl,3.0,30
Hush - 2014 Remastered Version,38,True,True,/app/songs/popularity_3/Hush - 2014 Remastered Version.mp3,Hush - 2014 Remastered Version - ,3.0,/app/lyrics/popularity_3/Hush - 2014 Remastered Version -.txt,Hush - 2014 Remastered Version -,3.0,30
Itchycoo Park,49,True,True,/app/songs/popularity_5/Itchycoo Park.mp3,Itchycoo Park - ,5.0,/app/lyrics/popularity_5/Itchycoo Park.txt,Itchycoo Park,5.0,50
96 Tears,30,True,True,/app/songs/popularity_3/96 Tears.mp3,96 Tears - ,3.0,/app/lyrics/popularity_3/96 Tears.txt,96 Tears,3.0,30
Kick out the Jams,40,True,True,/app/songs/popularity_4/Kick out the Jams.mp3,Kick out the Jams - ,4.0,/app/lyrics/popularity_4/Kick out the Jams.txt,Kick out the Jams,4.0,40
Hotel California - Remastered,83,True,True,/app/songs/popularity_9/Hotel California - Remastered.mp3,Hotel California - Remastered - ,9.0,/app/lyrics/popularity_9/Hotel California - Remastered -.txt,Hotel California - Remastered -,9.0,90
Wildflowers - Remastered,13,True,True,/app/songs/popularity_2/Wildflowers - Remastered.mp3,Wildflowers - Remastered - ,2.0,/app/lyrics/popularity_2/Wildflowers - Remastered -.txt,Wildflowers - Remastered -,2.0,20
Jolene,76,True,True,/app/songs/popularity_3/Jolene.mp3,Jolene - ,3.0,/app/lyrics/popularity_3/Jolene.txt,Jolene,3.0,30
Solsbury Hill,21,True,True,/app/songs/popularity_3/Solsbury Hill.mp3,Solsbury Hill - ,3.0,/app/lyrics/popularity_3/Solsbury Hill.txt,Solsbury Hill,3.0,30
Rock And Roll All Nite,74,True,True,/app/songs/popularity_7/Rock And Roll All Nite.mp3,Rock And Roll All Nite - ,7.0,/app/lyrics/popularity_7/Rock And Roll All Nite.txt,Rock And Roll All Nite,7.0,70
Highway to Hell,83,True,True,/app/songs/popularity_9/Highway to Hell.mp3,Highway to Hell - ,9.0,/app/lyrics/popularity_9/Highway to Hell.txt,Highway to Hell,9.0,90
You Give Love A Bad Name,26,True,True,/app/songs/popularity_3/You Give Love A Bad Name.mp3,You Give Love A Bad Name - ,3.0,/app/lyrics/popularity_3/You Give Love A Bad Name.txt,You Give Love A Bad Name,3.0,30
Nobody's Fool,16,True,True,/app/songs/popularity_2/Nobody's Fool.mp3,Nobody's Fool - ,2.0,/app/lyrics/popularity_2/Nobody's Fool.txt,Nobody's Fool,2.0,20
Livin' On A Prayer,63,True,True,/app/songs/popularity_1/Livin' On A Prayer.mp3,Livin' On A Prayer - ,1.0,/app/lyrics/popularity_1/Livin' On A Prayer.txt,Livin' On A Prayer,1.0,10
Rock the Night,7,True,True,/app/songs/popularity_1/Rock the Night.mp3,Rock the Night - ,1.0,/app/lyrics/popularity_1/Rock the Night.txt,Rock the Night,1.0,10
Addicted To That Rush,4,True,True,/app/songs/popularity_1/Addicted To That Rush.mp3,Addicted To That Rush - ,1.0,/app/lyrics/popularity_1/Addicted To That Rush.txt,Addicted To That Rush,1.0,10
I Wanna Be Somebody,5,True,True,/app/songs/popularity_1/I Wanna Be Somebody.mp3,I Wanna Be Somebody - ,1.0,/app/lyrics/popularity_1/I Wanna Be Somebody.txt,I Wanna Be Somebody,1.0,10
Over The Mountain,3,True,True,/app/songs/popularity_1/Over The Mountain.mp3,Over The Mountain - ,1.0,/app/lyrics/popularity_1/Over The Mountain.txt,Over The Mountain,1.0,10
Wild Child,59,True,True,/app/songs/popularity_4/Real Wild Child (Wild One).mp3,Real Wild Child (Wild One) - ,4.0,/app/lyrics/popularity_4/Real Wild Child (Wild One).txt,Real Wild Child (Wild One),4.0,40
Detroit Rock City,22,True,True,/app/songs/popularity_3/Detroit Rock City.mp3,Detroit Rock City - ,3.0,/app/lyrics/popularity_3/Detroit Rock City.txt,Detroit Rock City,3.0,30
I Was Made For Lovin' You,36,True,True,/app/songs/popularity_3/I Was Made For Lovin' You.mp3,I Was Made For Lovin' You - ,3.0,/app/lyrics/popularity_3/I Was Made For Lovin' You.txt,I Was Made For Lovin' You,3.0,30
Wind Of Change,37,True,True,/app/songs/popularity_3/Wind Of Change.mp3,Wind Of Change - ,3.0,/app/lyrics/popularity_3/Wind Of Change.txt,Wind Of Change,3.0,30
"Say You, Say Me",32,True,True,"/app/songs/popularity_3/Say You, Say Me.mp3","Say You, Say Me - ",3.0,"/app/lyrics/popularity_3/Say You, Say Me.txt","Say You, Say Me",3.0,30
Take On Me,85,True,True,/app/songs/popularity_9/Take On Me.mp3,Take On Me - ,9.0,/app/lyrics/popularity_9/Take On Me.txt,Take On Me,9.0,90
Careless Whisper,13,True,True,/app/songs/popularity_2/Careless Whisper.mp3,Careless Whisper - ,2.0,/app/lyrics/popularity_2/Careless Whisper.txt,Careless Whisper,2.0,20
Billie Jean,84,True,True,/app/songs/popularity_9/Billie Jean.mp3,Billie Jean - ,9.0,/app/lyrics/popularity_9/Billie Jean.txt,Billie Jean,9.0,90
Tainted Love,26,True,True,/app/songs/popularity_3/Tainted Love.mp3,Tainted Love - ,3.0,/app/lyrics/popularity_3/Tainted Love.txt,Tainted Love,3.0,30
Dr Feelgood,32,True,True,/app/songs/popularity_3/Dr Feelgood.mp3,Dr Feelgood - ,3.0,/app/lyrics/popularity_3/Dr Feelgood.txt,Dr Feelgood,3.0,30
Jessie's Girl,9,True,True,/app/songs/popularity_1/Jessie's Girl.mp3,Jessie's Girl - ,1.0,/app/lyrics/popularity_1/Jessie's Girl.txt,Jessie's Girl,1.0,10
Everybody Wants To Rule The World,82,True,True,/app/songs/popularity_9/Everybody Wants To Rule The World.mp3,Everybody Wants To Rule The World - ,9.0,/app/lyrics/popularity_9/Everybody Wants To Rule The World.txt,Everybody Wants To Rule The World,9.0,90
Call Me,64,True,True,/app/songs/popularity_1/Call Me.mp3,Call Me - ,1.0,/app/lyrics/popularity_1/Call Me.txt,Call Me,1.0,10
Rebel Yell,25,True,True,/app/songs/popularity_3/Rebel Yell.mp3,Rebel Yell - ,3.0,/app/lyrics/popularity_3/Rebel Yell.txt,Rebel Yell,3.0,30
Don't Change,22,True,True,/app/songs/popularity_3/Don't Change.mp3,Don't Change - ,3.0,/app/lyrics/popularity_3/Don't Change.txt,Don't Change,3.0,30
Africa,86,True,True,/app/songs/popularity_9/Africa.mp3,Africa - ,9.0,/app/lyrics/popularity_9/Africa.txt,Africa,9.0,90
I Wanna Dance with Somebody (Who Loves Me),82,True,True,/app/songs/popularity_9/I Wanna Dance with Somebody (Who Loves Me).mp3,I Wanna Dance with Somebody (Who Loves Me) - ,9.0,/app/lyrics/popularity_9/I Wanna Dance with Somebody (Who Loves Me).txt,I Wanna Dance with Somebody (Who Loves Me),9.0,90
Footloose,74,True,True,/app/songs/popularity_1/Footloose.mp3,Footloose - ,1.0,/app/lyrics/popularity_1/Footloose.txt,Footloose,1.0,10
Wake Me Up Before You Go-Go - Remastered,62,True,True,/app/songs/popularity_3/Wake Me up Before You Go-Go.mp3,Wake Me up Before You Go-Go - ,3.0,/app/lyrics/popularity_3/Wake Me up Before You Go-Go.txt,Wake Me up Before You Go-Go,3.0,30
Thunderstruck,82,True,True,/app/songs/popularity_9/Thunderstruck.mp3,Thunderstruck - ,9.0,/app/lyrics/popularity_9/Thunderstruck.txt,Thunderstruck,9.0,90
(I've Had) The Time of My Life,21,True,True,/app/songs/popularity_2/(I've Had) The Time of My Life.mp3,(I've Had) The Time of My Life - ,2.0,/app/lyrics/popularity_2/(I've Had) The Time of My Life.txt,(I've Had) The Time of My Life,2.0,20
We Belong - Single Version,12,True,True,/app/songs/popularity_1/We Belong - Single Version.mp3,We Belong - Single Version - ,1.0,/app/lyrics/popularity_1/We Belong - Single Version -.txt,We Belong - Single Version -,1.0,10
Oh Sherrie,36,True,True,/app/songs/popularity_4/Oh Sherrie.mp3,Oh Sherrie - ,4.0,/app/lyrics/popularity_4/Oh Sherrie.txt,Oh Sherrie,4.0,40
"I'm Alright (Theme from ""Caddyshack"")",40,True,True,"/app/songs/popularity_4/I'm Alright (Theme from ""Caddyshack"").mp3","I'm Alright (Theme from ""Caddyshack"") - ",4.0,"/app/lyrics/popularity_4/I'm Alright (Theme from ""Caddyshack"").txt","I'm Alright (Theme from ""Caddyshack"")",4.0,40
Baby Got Back,27,True,True,/app/songs/popularity_2/Baby Got Back.mp3,Baby Got Back - ,2.0,/app/lyrics/popularity_2/Baby Got Back.txt,Baby Got Back,2.0,20
Knockin' Boots,32,True,True,/app/songs/popularity_4/Knockin' Boots.mp3,Knockin' Boots - ,4.0,/app/lyrics/popularity_4/Knockin' Boots.txt,Knockin' Boots,4.0,40
Glycerine - Acoustic,14,True,True,/app/songs/popularity_1/Glycerine - Acoustic.mp3,Glycerine - Acoustic - ,1.0,/app/lyrics/popularity_1/Glycerine - Acoustic -.txt,Glycerine - Acoustic -,1.0,10
1979,19,True,True,/app/songs/popularity_1/1979.mp3,1979 - ,1.0,/app/lyrics/popularity_1/1979.txt,1979,1.0,10
Losing My Religion,28,True,True,/app/songs/popularity_2/Losing My Religion.mp3,Losing My Religion - ,2.0,/app/lyrics/popularity_2/Losing My Religion.txt,Losing My Religion,2.0,20
What It's Like,17,True,True,/app/songs/popularity_1/What It's Like.mp3,What It's Like - ,1.0,/app/lyrics/popularity_1/What It's Like.txt,What It's Like,1.0,10
Black Hole Sun,16,True,True,/app/songs/popularity_1/Black Hole Sun.mp3,Black Hole Sun - ,1.0,/app/lyrics/popularity_1/Black Hole Sun.txt,Black Hole Sun,1.0,10
Santeria,24,True,True,/app/songs/popularity_2/Santeria.mp3,Santeria - ,2.0,/app/lyrics/popularity_2/Santeria.txt,Santeria,2.0,20
All Apologies,10,True,True,/app/songs/popularity_1/All Apologies.mp3,All Apologies - ,1.0,/app/lyrics/popularity_1/All Apologies.txt,All Apologies,1.0,10
Hey Leonardo (She Likes Me For Me),4,True,True,/app/songs/popularity_0/Hey Leonardo (She Likes Me For Me).mp3,Hey Leonardo (She Likes Me For Me) - ,0.0,/app/lyrics/popularity_0/Hey Leonardo (She Likes Me For Me).txt,Hey Leonardo (She Likes Me For Me),0.0,0
Cannonball,8,True,True,/app/songs/popularity_0/Cannonball.mp3,Cannonball - ,0.0,/app/lyrics/popularity_0/Cannonball.txt,Cannonball,0.0,0
Into Your Arms,6,True,True,/app/songs/popularity_0/Into Your Arms.mp3,Into Your Arms - ,0.0,/app/lyrics/popularity_0/Into Your Arms.txt,Into Your Arms,0.0,0
Glycerine,15,True,True,/app/songs/popularity_2/Glycerine - Remastered.mp3,Glycerine - Remastered - ,2.0,/app/lyrics/popularity_1/Glycerine.txt,Glycerine,1.0,20
What I Got,20,True,True,/app/songs/popularity_2/What I Got.mp3,What I Got - ,2.0,/app/lyrics/popularity_2/What I Got.txt,What I Got,2.0,20
New Age Girl,0,True,True,/app/songs/popularity_0/New Age Girl.mp3,New Age Girl - ,0.0,/app/lyrics/popularity_0/New Age Girl.txt,New Age Girl,0.0,0
